Detailed Statistics Departures  
Origin Airport: Richmond, VA: Richmond International (RIC)
Airline: Southwest Airlines Co. (WN)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","01/14/2022","1946","N748SW","MDW","18:15","18:25","140","118","10","18:34","9","0","0","0","0","0"
"WN","01/14/2022","2129","N8327A","ATL","16:10","16:08","110","94","-2","16:21","13","0","0","0","0","0"
"WN","01/14/2022","5955","N263WN","DEN","12:50","12:46","240","244","-4","12:57","11","0","0","0","0","0"
"WN","01/15/2022","1319","N500WR","ATL","06:20","06:21","115","96","1","06:33","12","0","0","0","0","0"
"WN","01/15/2022","1952","N411WN","ATL","13:25","13:18","105","103","-7","13:30","12","0","0","0","0","0"
"WN","01/15/2022","3087","N249WN","MDW","16:35","16:27","135","114","-8","16:37","10","0","0","0","0","0"
"WN","01/16/2022","0896","N8515X","DEN","13:20","17:02","240","240","222","17:30","28","0","219","0","0","3"
"WN","01/16/2022","2309","N229WN","MDW","17:55","19:36","140","118","101","20:02","26","0","60","0","0","19"
"WN","01/16/2022","4089","","ATL","06:15","00:00","115","0","0","00:00","0","0","0","0","0","0"
"WN","01/16/2022","4756","N205WN","ATL","17:00","18:11","110","169","71","19:38","87","0","40","59","0","31"
"WN","01/17/2022","0125","","ATL","05:55","00:00","120","0","0","00:00","0","0","0","0","0","0"
"WN","01/17/2022","1623","N479WN","DEN","12:50","13:10","265","230","20","13:22","12","0","0","0","0","0"
"WN","01/17/2022","2147","N8632A","ATL","16:55","16:54","110","94","-1","17:09","15","0","0","0","0","0"
"WN","01/17/2022","2352","N7883A","MDW","18:00","17:56","130","134","-4","18:04","8","0","0","0","0","0"
