Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,1/20/22,1979,N832UA,DEN,15:50,15:59,260,350,9,18:05,126,7,0,90,0,2
UA,1/20/22,2234,N401UA,ORD,6:45,6:46,139,122,1,7:00,14,0,0,0,0,0
UA,1/21/22,1643,N816UA,DEN,8:00,8:13,261,257,13,8:27,14,0,0,0,0,0
UA,1/21/22,1979,N823UA,DEN,15:50,15:37,260,258,-13,15:52,15,0,0,0,0,0
UA,1/21/22,2234,N893UA,ORD,6:45,6:47,139,124,2,7:03,16,0,0,0,0,0
UA,1/22/22,1643,N876UA,DEN,8:00,7:58,261,255,-2,8:31,33,0,0,0,0,0
UA,1/22/22,1979,N879UA,DEN,15:50,16:10,260,238,20,16:23,13,0,0,0,0,0
UA,1/22/22,2234,N460UA,ORD,6:45,6:43,139,153,-2,7:23,40,0,0,0,0,0
UA,1/23/22,1643,N827UA,DEN,8:00,7:56,261,234,-4,8:08,12,0,0,0,0,0
UA,1/23/22,1979,N879UA,DEN,15:50,15:47,260,240,-3,16:00,13,0,0,0,0,0
UA,1/23/22,2234,N483UA,ORD,6:45,6:38,139,140,-7,6:52,14,0,0,0,0,0
UA,1/24/22,1643,N874UA,DEN,8:00,7:54,261,254,-6,8:09,15,0,0,0,0,0
UA,1/24/22,1979,N834UA,DEN,15:50,15:44,260,251,-6,15:57,13,0,0,0,0,0
UA,1/24/22,2234,N443UA,ORD,6:45,6:37,139,152,-8,7:07,30,0,0,0,0,0
UA,1/25/22,1643,N877UA,DEN,8:00,7:53,261,262,-7,8:06,13,0,0,0,0,0
UA,1/25/22,1979,N894UA,DEN,15:50,15:47,260,259,-3,16:12,25,0,0,0,0,0
UA,1/25/22,2234,N443UA,ORD,6:45,6:39,139,122,-6,6:50,11,0,0,0,0,0
UA,1/26/22,1643,N893UA,DEN,8:00,7:54,261,258,-6,8:08,14,0,0,0,0,0
UA,1/26/22,1979,N817UA,DEN,15:50,15:37,260,269,-13,15:50,13,0,0,0,0,0
UA,1/26/22,2234,N443UA,ORD,6:45,6:38,139,123,-7,6:51,13,0,0,0,0,0
UA,1/27/22,1643,N829UA,DEN,8:00,7:55,261,278,-5,8:23,28,0,0,0,0,0
UA,1/27/22,1979,N821UA,DEN,15:50,16:00,260,251,10,16:17,17,0,0,0,0,0
UA,1/27/22,2234,N401UA,ORD,6:45,6:40,139,149,-5,7:23,43,0,0,0,0,0
UA,1/28/22,1643,N848UA,DEN,8:00,8:45,261,222,45,8:55,10,0,0,0,0,0
UA,1/28/22,1979,N819UA,DEN,15:50,16:04,260,231,14,16:26,22,0,0,0,0,0
UA,1/28/22,2234,N830UA,ORD,6:45,6:47,139,151,2,7:17,30,0,0,0,0,0
UA,1/29/22,1643,N838UA,DEN,8:00,7:57,261,274,-3,9:06,69,0,0,0,0,0
UA,1/29/22,1979,N829UA,DEN,15:50,15:48,260,233,-2,16:00,12,0,0,0,0,0
UA,1/29/22,2234,N454UA,ORD,6:45,6:40,139,152,-5,7:23,43,0,0,0,0,0
UA,1/30/22,1643,N838UA,DEN,8:00,7:53,261,244,-7,8:05,12,0,0,0,0,0
UA,1/30/22,1979,N815UA,DEN,15:50,15:42,260,225,-8,15:53,11,0,0,0,0,0
UA,1/30/22,2234,N825UA,ORD,6:45,6:40,139,120,-5,6:57,17,0,0,0,0,0
